X,Y,OBJECTID,Id,DateStarted,EstimatedCompletionDate,WorkType,Description,Suburb,Road,TrafficImpact,Region,EntryDate
114.630744165882,-28.7230027497209,216844,59806,09/03/2021 07:00:00,10/03/2021 17:00:00,Upgrades,"Power Pole Works - North West Coastal Hwy from Chapman Valley Rd Roundabout to 440 Roadhouse, City of Greater Geraldton  ",City of Greater Geraldton,North West Coastal Hwy,"Temporary Traffic Management - Speed Reduction to 40km/h - Drive to the Conditions 09 Mar - 10 Mar, 7am - 5pm",Mid West Gascoyne,02/03/2021 10:12:18
118.150444182545,-34.8468421876305,216849,59827,15/03/2021 06:00:00,10/05/2021 18:00:00,Maintenance,South Coast Hwy Kalgan to Manypeaks  - Shoulder Works - 6am to 6pm daily,,South Coast Hwy,Speed reduction with one lane closure,Great Southern,02/03/2021 13:00:53
118.591062343394,-20.311116423623,216850,58451,08/12/2020 06:00:00,31/03/2021 18:00:00,Upgrades,"Wilson St, Short St, Anderson St, Morgans St and Sutherland St -  Port Hedland  - Upgrades - Construction of Spoilbank Marina Trucking Route - 6am to 6pm ",Port Hedland,Wilson St,"Traffic management, temporary road closures, speed reductions and short detours in place - minor delays expected ",Pilbara,02/03/2021 14:34:50
117.305101235596,-34.980987418091,216852,56723,01/03/2021 06:00:00,23/04/2021 18:00:00,Maintenance,"South Coast Hwy - Culvert Works - near Lapko Road, Denmark - for three days during this period - 6am to 6pm daily ","Near Lapko Road, Denmark",South Coast Hwy,Speed restrictions with traffic control in place - single lane operation - drive to conditions - delays of up to 10 minutes may be experienced,Great Southern,03/03/2021 09:18:48
117.667885395964,-34.0727247407765,217253,59841,01/03/2021 06:00:00,23/04/2021 18:00:00,Maintenance,"Great Southern Hwy from Green Rd to Toolbrunup Rd, Tambellup  - Culvert Works - 6am to 6pm daily",Tambellup,Great Southern Hwy,Speed restrictions with traffic control in place - single lane operation - drive to conditions - delays of up to 10 minutes may be experienced ,Great Southern,03/03/2021 09:36:11
118.043313621535,-33.589905064244,217254,59842,01/03/2021 06:00:00,23/04/2021 18:00:00,Maintenance,"Katanning Nyabing Rd from Katanning to Hobart Rd, east of Katanning  - Culvert Works - 6am to 6pm daily",east of Katanning,Katanning Nyabing Rd,Speed restrictions with traffic control in place - single lane operation - drive to conditions - delays of up to 10 minutes may be experienced ,Great Southern,03/03/2021 09:40:01
117.592506896294,-33.7415765274009,217255,59848,09/03/2021 07:00:00,20/03/2021 17:00:00,Maintenance,"Great Southern Hwy near Bushy Lane Rd and Schultz Rd,  just south of Katanning  - Bridge maintenance - 7am to 5pm daily",just south of Katanning,Great Southern Hwy,Speed reduction in place with one lane closed during the day,Great Southern,04/03/2021 08:27:02
117.813871057452,-34.9850106963762,217257,59849,08/03/2021 06:00:00,19/04/2021 18:00:00,Maintenance,"Link Rd at Lancaster Rd, Albany - Albany Ring Road construction activities - 6am to 6pm daily",Albany,LOCAL ROAD,Speed reduction in place with one lane closure,Great Southern,04/03/2021 08:50:19
118.601891966234,-34.494936279474,217258,59856,08/03/2021 07:00:00,12/03/2021 17:00:00,Maintenance,South Coast Hwy at Wellstead  - Shoulder Works - 7am to 5pm daily,,South Coast Hwy,Speed reduction in place with one lane closure,Great Southern,04/03/2021 09:08:13
121.618442028645,-31.0705084248247,217260,59871,03/02/2021 07:00:00,03/05/2021 17:00:00,Resurfacing,"Goldfields Hwy, near Woolibar Station between Kambalda and Kalgoorlie - Pavement Overlay works",Woolibar Station,Goldfields Hwy,Lane Closures. STOP/SLOW Traffic Control. Speed Reductions. Exercise Caution.,Goldfields Esperance,04/03/2021 10:54:44
117.577626972858,-34.9878616514037,217261,59604,10/03/2021 06:00:00,25/03/2021 18:00:00,Maintenance,"South Coast Hwy from Stanley Rd to Charles St, Albany - Re-seal works - 6am to 6pm daily with Sundays off","Charles St, Albany",South Coast Hwy,Speed reduction with one lane closed - delays of up to 10 mins may occur,Great Southern,04/03/2021 11:39:11
117.995862235777,-34.8985007604504,217262,59877,04/03/2021 06:00:00,09/03/2021 18:00:00,Maintenance,"South Coast Hwy from Churchlane Rd, Kalgan to Manypeaks  - Vegetation Pruning - 6am to 6pm daily",,South Coast Hwy,Speed reduction with one lane closure,Great Southern,04/03/2021 11:52:05
117.380547776361,-34.930632238995,217267,59884,05/03/2021 06:00:00,12/03/2021 18:00:00,Maintenance,"Denmark Mt Barker Rd from South Coast Hwy to Muir Hwy, Denmark - spraying for weeds - 6am to 6pm daily",Denmark,Denmark Mt Barker Rd,Slow moving vehicle - minimal traffic impact,Great Southern,04/03/2021 15:23:41
